mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0	0	1/4	Tempo	4/4	1	1	0							Légèrement	108.0			1.0					
1	0	1/4	1/4	0.0	1/16	5/16	Tempo	4/4	1	1	0							𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0					
1	0	1/4	1/4	0.25	1/16	5/16	Chord	4/4	1	1	1/16		1/16	1	0												
1	0	1/2	1/2	0.25	1/8	3/8	Chord	4/4	1	1	1/16		1/16	1	1	ornamentShortTrill											
1	0	3/4	3/4	0.25	3/16	7/16	Chord	4/4	1	1	1/16		1/16	1	2												
1	0	1	1	0.5	1/4	1/2	Chord	4/4	1	1	1/8		1/8	1	3												
1	0	3/2	3/2	0.5	3/8	5/8	Chord	4/4	1	1	1/8		1/8	1	4	ornamentMordent											
1	0	2	2	0.5	1/2	3/4	Chord	4/4	1	1	1/8		1/8	1	5												
1	0	5/2	5/2	0.5	5/8	7/8	Chord	4/4	1	1	1/8		1/8	1	6	ornamentTurn											
1	0	1/4	1/4	0.25	1/16	5/16	Chord	4/4	2	1	1/16		1/16	1	7												
1	0	1/2	1/2	0.0	1/8	3/8	FiguredBass	4/4	2	1	0												1/8	6			
1	0	1/2	1/2	0.5	1/8	3/8	Chord	4/4	2	1	1/8		1/8	1	8												
1	0	1	1	0.0	1/4	1/2	FiguredBass	4/4	2	1	0												1/8	6			
1	0	1	1	0.5	1/4	1/2	Chord	4/4	2	1	1/8		1/8	1	9												
1	0	3/2	3/2	0.5	3/8	5/8	Chord	4/4	2	1	1/8		1/8	1	10												
1	0	2	2	0.0	1/2	3/4	FiguredBass	4/4	2	1	0												1/8	4			
1	0	2	2	0.5	1/2	3/4	Chord	4/4	2	1	1/8		1/8	1	11												
1	0	5/2	5/2	0.0	5/8	7/8	FiguredBass	4/4	2	1	0												1/8	3			
1	0	5/2	5/2	0.5	5/8	7/8	Chord	4/4	2	1	1/8		1/8	1	12												
2	1	3	3	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	13												
2	1	7/2	7/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	14												
2	1	15/4	15/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	15												
2	1	4	4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	16												
2	1	9/2	9/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	17												
2	1	19/4	19/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	18												
2	1	5	5	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	19												
2	1	21/4	21/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	20												
2	1	11/2	11/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	21												
2	1	23/4	23/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	22												
2	1	6	6	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	23	ornamentShortTrill											
2	1	27/4	27/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	24												
2	1	3	3	0.0	0	0	FiguredBass	4/4	2	1	0												1/8	5			
2	1	3	3	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	25												
2	1	7/2	7/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0												1/8	6			
2	1	7/2	7/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	26												
2	1	4	4	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/4	5/_			
2	1	4	4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	27												
2	1	9/2	9/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	28												
2	1	5	5	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	29												
2	1	11/2	11/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0												1/8	7	5		
2	1	11/2	11/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	30												
2	1	6	6	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	31												
2	1	13/2	13/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	32												
2	1	6	6	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	33												
3	2	7	7	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	34												
3	2	15/2	15/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	35												
3	2	8	8	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	36	ornamentMordent											
3	2	9	9	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	37												
3	2	19/2	19/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	38	ornamentShortTrill											
3	2	39/4	39/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	39												
3	2	10	10	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	40	ornamentMordent											
3	2	17/2	17/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16		1/16	1	41												
3	2	35/4	35/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	42												
3	2	9	9	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	43												
3	2	21/2	21/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	44												
3	2	43/4	43/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	45												
3	2	7	7	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	46	ornamentMordent											
3	2	8	8	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/4	6_			
3	2	17/2	17/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	47												
3	2	9	9	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/4	7			
3	2	9	9	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	48												
3	2	10	10	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/4	6_			
3	2	21/2	21/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	49												
4	3	11	11	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	50												
4	3	23/2	23/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	51	ornamentShortTrill											
4	3	47/4	47/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	52												
4	3	12	12	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	53												
4	3	49/4	49/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	54												
4	3	25/2	25/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	55												
4	3	51/4	51/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	56												
4	3	13	13	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	57	ornamentShortTrill											
4	3	53/4	53/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	58												
4	3	27/2	27/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	59												
4	3	55/4	55/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	60												
4	3	14	14	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	61	ornamentShortTrill											
4	3	59/4	59/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	62												
4	3	11	11	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	63												
4	3	11	11	0.0	0	0	FiguredBass	4/4	2	1	0												1/4	7_			
4	3	11	11	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	64												
4	3	23/2	23/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	65												
4	3	47/4	47/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	66												
4	3	12	12	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	67												
4	3	25/2	25/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	68												
4	3	13	13	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	69												
4	3	27/2	27/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0												1/8	5/			
4	3	27/2	27/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	70												
4	3	14	14	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	71												
4	3	29/2	29/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	72												
5	4	15	15	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	73												
5	4	61/4	61/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	74												
5	4	31/2	31/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	75												
5	4	63/4	63/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	76												
5	4	16	16	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	77												
5	4	65/4	65/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	78												
5	4	33/2	33/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	79												
5	4	67/4	67/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	80												
5	4	17	17	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	81	ornamentShortTrill											
5	4	69/4	69/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	82												
5	4	35/2	35/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	83												
5	4	71/4	71/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	84												
5	4	18	18	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	85												
5	4	73/4	73/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	86												
5	4	37/2	37/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	87												
5	4	75/4	75/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	88												
5	4	15	15	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	89												
5	4	33/2	33/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	90												
5	4	17	17	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/4	5_			
5	4	17	17	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	91												
5	4	35/2	35/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	92												
5	4	18	18	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/4	6_			
5	4	18	18	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	93												
5	4	37/2	37/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	94												
6	5	19	19	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	95	ornamentShortTrill											
6	5	77/4	77/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	96												
6	5	39/2	39/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	97												
6	5	79/4	79/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	98												
6	5	20	20	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	99												
6	5	81/4	81/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	100												
6	5	41/2	41/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	101												
6	5	83/4	83/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	102												
6	5	21	21	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	103												
6	5	85/4	85/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	104												
6	5	43/2	43/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	105												
6	5	87/4	87/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	106												
6	5	22	22	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	107												
6	5	89/4	89/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	108												
6	5	45/2	45/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	109												
6	5	91/4	91/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	110												
6	5	19	19	0.0	0	0	FiguredBass	4/4	2	1	0												1/4	#3			
6	5	19	19	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	111												
6	5	41/2	41/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0												1/8	#5			
6	5	41/2	41/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	112												
6	5	21	21	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/4	5_			
6	5	21	21	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	113												
6	5	43/2	43/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	114												
6	5	22	22	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/4	6_			
6	5	22	22	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	115												
6	5	45/2	45/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	116												
7	6	23	23	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	117	ornamentShortTrill											
7	6	93/4	93/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	118												
7	6	47/2	47/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	119												
7	6	95/4	95/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	120												
7	6	24	24	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	121												
7	6	97/4	97/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	122												
7	6	49/2	49/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	123												
7	6	99/4	99/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	124												
7	6	25	25	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	125												
7	6	101/4	101/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	126												
7	6	51/2	51/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	127	ornamentMordent											
7	6	103/4	103/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	128												
7	6	26	26	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	129	ornamentShortTrill											
7	6	107/4	107/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	130												
7	6	23	23	0.0	0	0	FiguredBass	4/4	2	1	0												1/4	6_			
7	6	23	23	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	131												
7	6	47/2	47/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	132												
7	6	24	24	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/4	#3_			
7	6	24	24	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	133												
7	6	49/2	49/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	134												
7	6	25	25	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/8	6			
7	6	25	25	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	135												
7	6	51/2	51/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0												1/16	#6			
7	6	51/2	51/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	136	ornamentShortTrill											
7	6	103/4	103/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	137												
7	6	26	26	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/8	#3			
7	6	26	26	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	138												
7	6	26	26	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	139												
7	6	53/2	53/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	140												
8	7	27	27	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	141												
8	7	27	27	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	142												
8	7	27	27	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	143												
8	7	55/2	55/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	144												
9	7	28	28	0.0	0	1/4	StaffText	4/4	1	1	0						"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>Reprise"										
9	7	113/4	113/4	0.25	1/16	5/16	Chord	4/4	1	1	1/16		1/16	1	145												
9	7	57/2	57/2	0.25	1/8	3/8	Chord	4/4	1	1	1/16		1/16	1	146												
9	7	115/4	115/4	0.25	3/16	7/16	Chord	4/4	1	1	1/16		1/16	1	147												
9	7	29	29	0.5	1/4	1/2	Chord	4/4	1	1	1/8		1/8	1	148	ornamentShortTrill											
9	7	59/2	59/2	0.5	3/8	5/8	Chord	4/4	1	1	1/8		1/8	1	149												
9	7	30	30	0.0	1/2	3/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	150												
9	7	30	30	0.75	1/2	3/4	Chord	4/4	1	1	3/16		1/8	3/2	151	ornamentMordent											
9	7	123/4	123/4	0.25	11/16	15/16	Chord	4/4	1	1	1/16		1/16	1	152												
9	7	113/4	113/4	0.25	1/16	5/16	Chord	4/4	2	1	1/16		1/16	1	153												
9	7	57/2	57/2	0.0	1/8	3/8	FiguredBass	4/4	2	1	0												1/8	6			
9	7	57/2	57/2	0.5	1/8	3/8	Chord	4/4	2	1	1/8		1/8	1	154												
9	7	29	29	0.0	1/4	1/2	FiguredBass	4/4	2	1	0												1/8	5/			
9	7	29	29	0.5	1/4	1/2	Chord	4/4	2	1	1/8		1/8	1	155												
9	7	59/2	59/2	0.0	3/8	5/8	FiguredBass	4/4	2	1	0												1/8	3			
9	7	59/2	59/2	0.5	3/8	5/8	Chord	4/4	2	1	1/8		1/8	1	156												
9	7	30	30	0.0	1/2	3/4	FiguredBass	4/4	2	1	0												1/8	2			
9	7	30	30	0.5	1/2	3/4	Chord	4/4	2	1	1/8		1/8	1	157												
9	7	61/2	61/2	0.0	5/8	7/8	FiguredBass	4/4	2	1	0												1/8	5/			
9	7	61/2	61/2	0.5	5/8	7/8	Chord	4/4	2	1	1/8		1/8	1	158												
10	8	31	31	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	159	ornamentShortTrill											
10	8	63/2	63/2	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	160												
10	8	63/2	63/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	161												
10	8	129/4	129/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	162												
10	8	65/2	65/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	163												
10	8	131/4	131/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	164												
10	8	33	33	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	165	ornamentShortTrill											
10	8	135/4	135/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	166												
10	8	34	34	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	167	ornamentShortTrill											
10	8	139/4	139/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	168												
10	8	31	31	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	169												
10	8	63/2	63/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	170												
10	8	127/4	127/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	171												
10	8	32	32	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	172												
10	8	65/2	65/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	173												
10	8	33	33	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/4	7_			
10	8	33	33	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	174												
10	8	67/2	67/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	175												
10	8	34	34	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/8	6	4+	3	
10	8	34	34	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	176												
10	8	69/2	69/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0												1/8	6	5		
10	8	69/2	69/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	177												
