mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	TextLine
1	0	0	0	0.0	0	3/8	Tempo	6/8	1	1	0							Naïvement	104.0			1.0		
1	0	0	0	0.0	0	3/8	StaffText	6/8	1	1	0						"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>Première partie"							
1	0	0	0	0.0	0	3/8	Tempo	6/8	1	1	0							𝅘𝅥.=90	135.0	𝅘𝅥.	90.0	0.0		
1	0	0	0	1.0	0	3/8	Chord	6/8	1	1	1/4		1/4	1	0	articMarcatoAbove								
1	0	1	1	0.5	1/4	5/8	Chord	6/8	1	1	1/8		1/8	1	1	ornamentTurn								
1	0	0	0	0.0	0	3/8	StaffText	6/8	2	1	0						"<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>Bourdon"							
1	0	0	0	1.0	0	3/8	Chord	6/8	2	1	1/4		1/4	1	2									
2	1	3/2	3/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	3									
2	1	5/2	5/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	4									
2	1	3	3	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	5	ornamentShortTrill								
2	1	4	4	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	6	ornamentTurn								
2	1	3/2	3/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	7									
2	1	3	3	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	8									
3	2	9/2	9/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	9								0	
3	2	11/2	11/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	10									
3	2	6	6	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	11									
3	2	7	7	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	12	ornamentShortTrill								
3	2	9/2	9/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	13									
3	2	6	6	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	14									
4	3	15/2	15/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	15									
4	3	17/2	17/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	16									
4	3	9	9	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	17	articMarcatoAbove								
4	3	10	10	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	18									
4	3	15/2	15/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	19									
4	3	9	9	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	20									
5	4	21/2	21/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	21								1	
5	4	11	11	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	22	articMarcatoAbove							1	
5	4	23/2	23/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	23									
5	4	12	12	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	24	articMarcatoAbove								
5	4	13	13	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	25	ornamentTurn								
5	4	21/2	21/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	26									
5	4	12	12	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	27									
6	5	27/2	27/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	28									
6	5	29/2	29/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	29									
6	5	15	15	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	30	ornamentShortTrill								
6	5	16	16	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	31	ornamentTurn								
6	5	27/2	27/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	32									
6	5	15	15	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	33									
7	6	33/2	33/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	34								2	
7	6	35/2	35/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	35									
7	6	18	18	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	36									
7	6	19	19	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	37	ornamentShortTrill								
7	6	33/2	33/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	38									
7	6	18	18	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	39									
8	7	39/2	39/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	40									
8	7	41/2	41/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	41									
8	7	21	21	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	42	articMarcatoAbove								
8	7	22	22	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	43									
8	7	39/2	39/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	44									
8	7	21	21	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	45									
9	8	45/2	45/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	46									
9	8	45/2	45/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	47									
10	8	24	24	0.0	0	3/8	StaffText	6/8	1	1	0						"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>Reprise"							
10	8	24	24	0.0	0	3/8	Spanner	6/8	1	1	0													0
10	8	24	24	1.0	0	3/8	Chord	6/8	1	1	1/4		1/4	1	48									0
10	8	25	25	0.0	1/4	5/8	Spanner	6/8	1	1	0													
10	8	25	25	0.5	1/4	5/8	Chord	6/8	1	1	1/8		1/8	1	49									
10	8	24	24	1.0	0	3/8	Chord	6/8	2	1	1/4		1/4	1	50									
11	9	51/2	51/2	0.0	0	0	Spanner	6/8	1	1	0													
11	9	51/2	51/2	0.0	0	0	Spanner	6/8	1	1	0													
11	9	51/2	51/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	51	ornamentShortTrill								
11	9	53/2	53/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	52									
11	9	27	27	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	53	ornamentShortTrill								
11	9	28	28	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	54									
11	9	51/2	51/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	55									
11	9	27	27	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	56									
12	10	57/2	57/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	57	articMarcatoAbove							3	
12	10	59/2	59/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	58									
12	10	30	30	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	59									
12	10	31	31	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	60									
12	10	57/2	57/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	61									
12	10	30	30	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	62									
13	11	63/2	63/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	63									
13	11	32	32	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	64	ornamentShortTrill								
13	11	65/2	65/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	65									
13	11	33	33	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	66								4	
13	11	67/2	67/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	67	articMarcatoAbove								
13	11	34	34	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	68									
13	11	63/2	63/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	69									
13	11	33	33	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	70									
13	11	67/2	67/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	71									
13	11	34	34	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	72									
14	12	69/2	69/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	73	articMarcatoAbove								
14	12	36	36	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	74	articMarcatoAbove								
14	12	37	37	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	75	ornamentTurn								
14	12	69/2	69/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	76									
14	12	35	35	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	77									
14	12	141/4	141/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	78									
14	12	71/2	71/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	79									
14	12	143/4	143/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	80									
14	12	36	36	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	81									
15	13	75/2	75/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	82									
15	13	77/2	77/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	83									
15	13	39	39	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	84	ornamentShortTrill								
15	13	40	40	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	85	ornamentTurn								
15	13	75/2	75/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	86									
15	13	39	39	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	87									
16	14	81/2	81/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	88								5	
16	14	83/2	83/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	89									
16	14	42	42	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	90									
16	14	43	43	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	91	ornamentShortTrill								
16	14	81/2	81/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	92									
16	14	42	42	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	93									
17	15	87/2	87/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	94									
17	15	44	44	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	95									
17	15	89/2	89/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	96									
17	15	45	45	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	97	articMarcatoAbove								
17	15	91/2	91/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	98									
17	15	46	46	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	99									
17	15	87/2	87/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	100									
17	15	44	44	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	101									
17	15	89/2	89/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	102									
17	15	45	45	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	103									
18	16	93/2	93/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	104									
18	16	95/2	95/2	0.0	1/4	1/4	StaffText	6/8	1	1	0						"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>(Fin)"							
18	16	93/2	93/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	105									
19	16	48	48	0.0	0	3/8	StaffText	6/8	1	1	0						"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>Seconde partie"							
19	16	48	48	0.0	0	3/8	StaffText	6/8	1	1	0						"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>Mineur"							
19	16	48	48	1.0	0	3/8	Chord	6/8	1	1	1/4		1/4	1	106								6	
19	16	49	49	0.5	1/4	5/8	Chord	6/8	1	1	1/8		1/8	1	107	ornamentShortTrill								
19	16	48	48	1.0	0	3/8	Chord	6/8	2	1	1/4		1/4	1	108									
20	17	99/2	99/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	109									
20	17	101/2	101/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	110									
20	17	51	51	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	111								7	
20	17	52	52	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	112	ornamentShortTrill								
20	17	99/2	99/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	113									
20	17	51	51	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	114									
21	18	105/2	105/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	115									
21	18	107/2	107/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	116									
21	18	54	54	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	117								8	
21	18	55	55	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	118	ornamentShortTrill								
21	18	105/2	105/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	119									
21	18	54	54	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	120									
22	19	111/2	111/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	121									
22	19	225/4	225/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	122									
22	19	113/2	113/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	123									
22	19	227/4	227/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	124									
22	19	57	57	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	125	ornamentShortTrill								
22	19	229/4	229/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	126									
22	19	115/2	115/2	0.75	1/2	1/2	Chord	6/8	1	1	3/16		1/8	3/2	127	articMarcatoAbove							9	
22	19	233/4	233/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	128								9	
22	19	467/8	467/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	129									
22	19	111/2	111/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	130									
22	19	56	56	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	131									
22	19	113/2	113/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	132									
22	19	57	57	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	133									
22	19	115/2	115/2	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	134	articMarcatoAbove								
23	20	117/2	117/2	0.0	0	0	Chord	6/8	1	1	0	appoggiatura	1/8	1	135									
23	20	117/2	117/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	136	ornamentShortTrill								
23	20	117/2	117/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	137									
24	20	60	60	0.0	0	3/8	StaffText	6/8	1	1	0						"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>Reprise"							
24	20	60	60	1.0	0	3/8	Chord	6/8	1	1	1/4		1/4	1	138								10	
24	20	61	61	0.5	1/4	5/8	Chord	6/8	1	1	1/8		1/8	1	139	ornamentShortTrill								
24	20	60	60	1.0	0	3/8	Chord	6/8	2	1	1/4		1/4	1	140									
25	21	123/2	123/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	141	articMarcatoAbove								
25	21	125/2	125/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	142									
25	21	63	63	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	143	ornamentShortTrill								
25	21	64	64	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	144									
25	21	123/2	123/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	145									
25	21	63	63	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	146									
26	22	129/2	129/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	147	articMarcatoAbove							11	
26	22	131/2	131/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	148									
26	22	66	66	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	149	articMarcatoAbove								
26	22	67	67	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	150	ornamentTurn								
26	22	129/2	129/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	151									
26	22	131/2	131/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	152									
26	22	66	66	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	153									
27	23	135/2	135/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	154									
27	23	68	68	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	155									
27	23	137/2	137/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	156									
27	23	69	69	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	157								12	
27	23	139/2	139/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	158	articMarcatoAbove								
27	23	70	70	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	159									
27	23	135/2	135/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	160									
27	23	69	69	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	161									
27	23	139/2	139/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	162									
27	23	70	70	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	163									
28	24	141/2	141/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	164	articMarcatoAbove								
28	24	72	72	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	165								13	
28	24	73	73	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	166	ornamentShortTrill								
28	24	141/2	141/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	167									
28	24	71	71	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	168									
28	24	285/4	285/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	169									
28	24	143/2	143/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	170									
28	24	287/4	287/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	171									
28	24	72	72	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	172									
29	25	147/2	147/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	173									
29	25	149/2	149/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	174									
29	25	75	75	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	175									
29	25	76	76	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	176									
29	25	147/2	147/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	177									
29	25	75	75	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	178									
30	26	153/2	153/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	179	articMarcatoAbove								
30	26	155/2	155/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	180									
30	26	78	78	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	181									
30	26	157/2	157/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	182									
30	26	79	79	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	183									
30	26	153/2	153/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	184									
30	26	78	78	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	185									
31	27	159/2	159/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	186								14	
31	27	80	80	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	187	articMarcatoAbove							14	
31	27	161/2	161/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	188									
31	27	81	81	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	189	articMarcatoAbove								
31	27	163/2	163/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	190									
31	27	82	82	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	191									
31	27	159/2	159/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	192									
31	27	80	80	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	193									
31	27	161/2	161/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	194									
31	27	81	81	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	195									
32	28	165/2	165/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	196									
32	28	165/2	165/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	197									
