mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	0	0	0.0	0	1/4	Tempo	6/8	1	1	0								Gayement	120				
1	0	0	0.0	0	1/4	StaffText	6/8	1	1	0							"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>Rondeau"						
1	0	0	0.0	0	1/4	Tempo	6/8	1	1	0								𝅘𝅥. = 80	120				
1	0	0	0.5	0	1/4	Chord	6/8	1	1	1/8			1/8	1	0	articStaccatissimoBelow							
1	0	1/2	1.0	1/8	3/8	Chord	6/8	1	1	1/4			1/4	1	1	ornamentShortTrill							
1	0	3/2	0.5	3/8	5/8	Chord	6/8	1	1	1/8			1/8	1	2	articStaccatissimoBelow							
1	0	0	0.5	0	1/4	Chord	6/8	2	1	1/8			1/8	1	3								
1	0	1/2	1.0	1/8	3/8	Chord	6/8	2	1	1/4			1/4	1	4								
1	0	3/2	0.5	3/8	5/8	Chord	6/8	2	1	1/8			1/8	1	5								
2	1	2	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	6								
2	1	3	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	7	articStaccatissimoBelow							
2	1	7/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	8	ornamentMordent							
2	1	17/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	9								
2	1	9/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	10	articStaccatissimoBelow							
2	1	2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	11								
2	1	3	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	12								
2	1	7/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	13								
2	1	9/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	14								
3	2	5	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	15								
3	2	6	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	16	articStaccatissimoAbove							
3	2	13/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	17								0
3	2	15/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	18	ornamentMordent							
3	2	5	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	19								
3	2	6	0.0	1/4	1/4	FiguredBass	6/8	2	1	0										3/8	6_		
3	2	6	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	20								
3	2	13/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	21								
3	2	15/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	22								
4	3	8	0.75	0	0	Chord	6/8	1	1	3/16			1/8	3/2	23								
4	3	35/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	24								
4	3	9	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	25								
4	3	19/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	26	ornamentMordent							
4	3	41/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	27								
4	3	21/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	28								
4	3	8	0.0	0	0	FiguredBass	6/8	2	1	0										3/16	6		
4	3	8	0.75	0	0	Chord	6/8	2	1	3/16			1/8	3/2	29	ornamentShortTrill							
4	3	35/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16			1/16	1	30								
4	3	9	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	31								
4	3	19/2	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										1/4	5	4_	
4	3	19/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16			1/8	3/2	32								
4	3	41/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	33								
4	3	21/2	0.0	5/8	5/8	FiguredBass	6/8	2	1	0										1/8	3		
4	3	21/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	34								
5	4	11	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	35	ornamentShortTrill							
5	4	23/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	36								
5	4	12	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	37	articStaccatissimoBelow							
5	4	25/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	38	ornamentShortTrill							
5	4	27/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	39	articStaccatissimoBelow							
5	4	11	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	40								
5	4	12	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	41								
5	4	25/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	42								
5	4	27/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	43								
6	5	14	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	44								
6	5	15	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	45	articStaccatissimoBelow							
6	5	31/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	46	ornamentMordent							
6	5	65/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	47								
6	5	33/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	48	articStaccatissimoBelow							
6	5	14	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	49								
6	5	15	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	50								
6	5	31/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	51								
6	5	33/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	52								
7	6	17	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	53								
7	6	18	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	54	articStaccatissimoAbove							
7	6	37/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	55								1
7	6	39/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	56	ornamentMordent							
7	6	17	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	57								
7	6	18	0.0	1/4	1/4	FiguredBass	6/8	2	1	0										3/8	6_		
7	6	18	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	58								
7	6	37/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	59								
7	6	39/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	60								
8	7	20	0.75	0	0	Chord	6/8	1	1	3/16			1/8	3/2	61								
8	7	83/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	62								
8	7	21	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	63								
8	7	43/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	64	ornamentShortTrill							
8	7	89/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	65								
8	7	45/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	66	articStaccatissimoBelow							
8	7	20	0.75	0	0	Chord	6/8	2	1	3/16			1/8	3/2	67	ornamentShortTrill							
8	7	83/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16			1/16	1	68								
8	7	21	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	69								
8	7	43/2	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										3/8	6	4_	
8	7	43/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16			1/8	3/2	70								
8	7	89/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	71								
8	7	45/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	72								
9	8	23	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	73								
9	8	23	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	74								
10	8	24	0.5	0	1/4	Chord	6/8	1	1	1/8			1/8	1	75	articStaccatissimoAbove							
10	8	49/2	1.0	1/8	3/8	Chord	6/8	1	1	1/4			1/4	1	76								
10	8	51/2	0.5	3/8	5/8	Chord	6/8	1	1	1/8			1/8	1	77	articStaccatissimoAbove							
10	8	24	0.5	0	1/4	Chord	6/8	2	1	1/8			1/8	1	78								
10	8	49/2	1.0	1/8	3/8	Chord	6/8	2	1	1/4			1/4	1	79								
10	8	51/2	0.0	3/8	5/8	FiguredBass	6/8	2	1	0										1/8	7		
10	8	51/2	0.5	3/8	5/8	Chord	6/8	2	1	1/8			1/8	1	80								
11	8	26	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	81								
11	8	27	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	82	articStaccatissimoAbove							
11	8	55/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	83								
11	8	113/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	84								
11	8	57/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	85								
11	8	26	0.0	0	0	FiguredBass	6/8	2	1	0										1/4	7		
11	8	26	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	86								
11	8	27	0.0	1/4	1/4	FiguredBass	6/8	2	1	0										1/8	6		
11	8	27	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	87								
11	8	55/2	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										3/8	6_		
11	8	55/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16			1/8	3/2	88								
11	8	113/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	89								
11	8	57/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	90								
12	9	29	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	91								
12	9	30	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	92	articStaccatissimoAbove							
12	9	61/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	93	ornamentMordent							
12	9	29	0.0	0	0	FiguredBass	6/8	2	1	0										1/4	7		
12	9	29	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	94								
12	9	30	0.0	1/4	1/4	FiguredBass	6/8	2	1	0										1/8	6		
12	9	30	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	95								
12	9	61/2	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										3/8	6_		
12	9	61/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16			1/8	3/2	96								
12	9	125/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	97								
12	9	63/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	98								
13	10	32	0.75	0	0	Chord	6/8	1	1	3/16			1/8	3/2	99								
13	10	131/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	100								
13	10	33	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	101								
13	10	67/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	102								
13	10	137/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	103								
13	10	69/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	104								
13	10	32	0.0	0	0	FiguredBass	6/8	2	1	0										3/8	5	4_	
13	10	32	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	105								
13	10	33	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	106								
13	10	67/2	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										3/8	3_		
13	10	67/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16			1/8	3/2	107								
13	10	137/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	108								
13	10	69/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	109								
14	11	35	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	110	ornamentShortTrill							
14	11	71/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	111								
14	11	36	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	112	articStaccatissimoBelow							
14	11	73/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	113								
14	11	75/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	114	articStaccatissimoAbove							
14	11	35	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	115								
14	11	36	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	116								
14	11	73/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	117								
14	11	75/2	0.0	5/8	5/8	FiguredBass	6/8	2	1	0										1/8	7		
14	11	75/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	118								
15	12	38	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	119								
15	12	39	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	120	articStaccatissimoAbove							
15	12	79/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	121								
15	12	161/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	122								
15	12	81/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	123								
15	12	38	0.0	0	0	FiguredBass	6/8	2	1	0										1/4	7		
15	12	38	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	124								
15	12	39	0.0	1/4	1/4	FiguredBass	6/8	2	1	0										1/8	6		
15	12	39	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	125								
15	12	79/2	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										3/8	6_		
15	12	79/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16			1/8	3/2	126								
15	12	161/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	127								
15	12	81/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	128								
16	13	41	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	129								
16	13	42	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	130	articStaccatissimoAbove							
16	13	85/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	131	ornamentMordent							
16	13	41	0.0	0	0	FiguredBass	6/8	2	1	0										1/4	7		
16	13	41	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	132								
16	13	42	0.0	1/4	1/4	FiguredBass	6/8	2	1	0										1/8	6		
16	13	42	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	133								
16	13	85/2	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										3/8	6_		
16	13	85/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16			1/8	3/2	134								
16	13	173/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	135								
16	13	87/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	136								
17	14	44	0.75	0	0	Chord	6/8	1	1	3/16			1/8	3/2	137								
17	14	179/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	138								
17	14	45	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	139								
17	14	91/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	140								
17	14	185/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	141								
17	14	93/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	142								
17	14	44	0.0	0	0	FiguredBass	6/8	2	1	0										3/8	54	_	
17	14	44	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	143								
17	14	45	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	144								
17	14	91/2	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										3/8	3_		
17	14	91/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16			1/8	3/2	145								
17	14	185/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	146								
17	14	93/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	147								
18	15	47	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	148	ornamentShortTrill							
18	15	95/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	149								
18	15	47	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	150								
19	15	48	0.5	0	1/4	Chord	6/8	1	1	1/8			1/8	1	151								
19	15	97/2	0.0	1/8	3/8	StaffText	6/8	1	1	0													
19	15	97/2	1.0	1/8	3/8	Chord	6/8	1	1	1/4			1/4	1	152	ornamentMordent							
19	15	99/2	0.5	3/8	5/8	Chord	6/8	1	1	1/8			1/8	1	153								
19	15	99/2	0.0	3/8	5/8	FiguredBass	6/8	2	1	0										1/8	#3		
19	15	99/2	0.5	3/8	5/8	Chord	6/8	2	1	1/8			1/8	1	154								
20	16	50	0.0	0	0	Chord	6/8	1	1	0	appoggiatura		1/8	1	155								
20	16	50	0.75	0	0	Chord	6/8	1	1	3/16			1/8	3/2	156	ornamentMordent							
20	16	203/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	157								
20	16	51	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	158								
20	16	103/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	159	ornamentShortTrill							
20	16	209/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	160								
20	16	105/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	161								
20	16	50	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	162								
20	16	51	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	163								
20	16	103/2	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										1/4	#3		
20	16	103/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	164								
20	16	105/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	165								
21	17	53	0.75	0	0	Chord	6/8	1	1	3/16			1/8	3/2	166								
21	17	215/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	167								
21	17	54	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	168								
21	17	109/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	169								
21	17	221/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	170								
21	17	111/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	171								
21	17	53	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	172								
21	17	54	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	173								
21	17	109/2	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										3/8	5/_		
21	17	109/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16			1/8	3/2	174								
21	17	221/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	175								
21	17	111/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	176								
22	18	56	0.75	0	0	Chord	6/8	1	1	3/16			1/8	3/2	177	ornamentShortTrill							
22	18	227/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	178								
22	18	57	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	179								
22	18	115/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace8after		1/8	1	180								
22	18	115/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace8after		1/8	1	181								
22	18	115/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	182	ornamentShortTrill							
22	18	56	0.75	0	0	Chord	6/8	2	1	3/16			1/8	3/2	183								
22	18	227/4	0.0	3/16	3/16	FiguredBass	6/8	2	1	0										1/16	5		
22	18	227/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16			1/16	1	184								
22	18	57	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	185								
22	18	115/2	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										3/8	#3_		
22	18	115/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	186								
22	18	117/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	187								
23	19	59	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	188								
23	19	60	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	189								
23	19	121/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	190	ornamentShortTrill							
