mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
24	22	347/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	353										
24	22	87	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	354										
24	22	349/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	355										
24	22	175/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/4	6_			
24	22	175/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	356										
24	22	88	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	357										
24	22	177/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	358										
24	22	89	0.0	5/8	5/8	FiguredBass	4/4	2	1	0											1/8	6			
24	22	89	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	359										
24	22	179/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/8	6			
24	22	179/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	360										
24	22	90	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	361										
25	23	181/2	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	362		ornamentShortTrill								
25	23	92	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	363										
25	23	369/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	364										
25	23	185/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	365										
25	23	93	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	366										
25	23	187/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	367										
25	23	94	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	368										
25	23	377/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	369										
25	23	181/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	370										
25	23	91	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	371										
25	23	365/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	372										
25	23	183/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/4	6_			
25	23	183/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	373										
25	23	92	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	374										
25	23	185/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	5_			
25	23	185/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	375										
25	23	93	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	376										
25	23	373/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	377										
25	23	187/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/4	6	5_		
25	23	187/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	378										
25	23	94	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	379										
26	24	189/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	380		ornamentShortTrill								
26	24	95	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	381										
26	24	191/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	382										
26	24	96	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	383										
26	24	385/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	384										
26	24	193/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	385		ornamentShortTrill								
26	24	97	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	386										
26	24	195/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	387										
26	24	98	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	388										
26	24	393/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	389										
26	24	189/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	390										
26	24	95	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	391										
26	24	381/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	392										
26	24	191/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/4	6_			
26	24	191/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	393										
26	24	96	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	394										
26	24	193/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	395										
26	24	97	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	396										
26	24	389/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	397										
26	24	195/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/4	6_			
26	24	195/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	398										
26	24	98	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	399										
27	25	197/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	400		ornamentShortTrill								
27	25	99	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	401										
27	25	199/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	402										
27	25	100	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	403										
27	25	401/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	404										
27	25	201/2	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	405										
27	25	403/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	406										
27	25	101	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	407										
27	25	405/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	408										
27	25	203/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	409		ornamentShortTrill								
27	25	409/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	410										
27	25	197/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/2	5/_			
27	25	197/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	411										
27	25	99	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	412										
27	25	397/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	413										
27	25	199/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	414										
27	25	100	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	415										
27	25	201/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	3_			
27	25	201/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	416										
27	25	101	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	417										
27	25	203/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/4	3_			
27	25	203/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	418										
27	25	102	0.0	7/8	7/8	FiguredBass	4/4	2	1	0											1/8	7			
27	25	102	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	419										
28	26	205/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	420										
28	26	103	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	421										
28	26	413/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	422										
28	26	207/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	423										
28	26	104	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	424										
28	26	209/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	425										
28	26	105	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	426										
28	26	421/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	427										
28	26	211/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	428										
28	26	106	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	429										
28	26	205/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/2	_			
28	26	205/2	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	430										
28	26	104	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	431										
28	26	417/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	432										
28	26	209/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	5/_			
28	26	209/2	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	433										
28	26	419/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	434										
28	26	105	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	435										
28	26	421/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	436										
28	26	211/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/4	b7_			
28	26	211/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	437										
28	26	106	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	438										
28	26	425/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	439										
29	27	213/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	440										
29	27	107	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	441										
29	27	429/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	442										
29	27	215/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	443										
29	27	108	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	444										
29	27	217/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	445										
29	27	109	1.0	5/8	5/8	Chord	4/4	1	1	1/4			1/4	1	446										
29	27	110	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	447		ornamentShortTrill								
29	27	213/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	5/_			
29	27	213/2	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	448										
29	27	427/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	449										
29	27	107	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	450										
29	27	429/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	451										
29	27	215/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/4	b7_			
29	27	215/2	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	452										
29	27	431/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	453										
29	27	108	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	454										
29	27	433/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	455										
29	27	217/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	3_			
29	27	217/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	456										
29	27	109	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	457										
29	27	219/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/8	5	4		
29	27	219/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	458										
29	27	110	0.0	7/8	7/8	FiguredBass	4/4	2	1	0											1/8	3_			
29	27	110	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	459										
29	27	441/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	460										
30	28	221/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	461										
30	28	111	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	462										
30	28	445/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	463										
30	28	223/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	464										
30	28	112	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	465										
30	28	225/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	466										
30	28	113	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	467										
30	28	453/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	468										
30	28	227/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	469										
30	28	114	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	470										
30	28	221/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/2	6_			
30	28	221/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	471										
30	28	111	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	472										
30	28	112	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	473										
30	28	449/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	474										
30	28	225/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	5/_			
30	28	225/2	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	475										
30	28	451/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	476										
30	28	113	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	477										
30	28	453/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	478										
30	28	227/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/4	7	h3_		
30	28	227/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	479										
30	28	114	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	480										
30	28	457/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	481										
31	29	229/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	482										
31	29	115	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	483										
31	29	461/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	484										
31	29	231/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	485		ornamentShortTrill								
31	29	116	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	486										
31	29	233/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	487	I									
31	29	117	1.0	5/8	5/8	Chord	4/4	1	1	1/4			1/4	1	488										
31	29	118	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	489										
31	29	229/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	5/_			
31	29	229/2	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	490										
31	29	459/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	491										
31	29	115	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	492										
31	29	461/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	493										
31	29	231/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/4	7	h3_		
31	29	231/2	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	494										
31	29	463/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	495										
31	29	116	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	496										
31	29	465/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	497										
31	29	233/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	498										
31	29	117	0.0	5/8	5/8	FiguredBass	4/4	2	1	0											1/8	6			
31	29	117	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	499										
31	29	235/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/8	6	5		
31	29	235/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	500										
31	29	118	0.0	7/8	7/8	FiguredBass	4/4	2	1	0											1/8	b3			
31	29	118	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	501										
32	30	237/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	502										
32	30	119	1.0	1/8	1/8	Chord	4/4	1	1	1/4			1/4	1	503										
32	30	120	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	504		ornamentShortTrill								
32	30	481/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	505										
32	30	241/2	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	506		ornamentShortTrill								
32	30	483/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	507										
32	30	121	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	508										
32	30	485/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	509										
32	30	243/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	510		ornamentShortTrill								
32	30	489/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	511										
32	30	237/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/8	b7			
32	30	237/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	512										
32	30	119	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	513										
32	30	239/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/8	7			
32	30	239/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	514										
32	30	120	0.0	3/8	3/8	FiguredBass	4/4	2	1	0											1/8	6	5		
32	30	120	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	515										
32	30	241/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/8	4+			
32	30	241/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	516										
32	30	121	0.0	5/8	5/8	FiguredBass	4/4	2	1	0											1/8	6_			
32	30	121	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	517										
32	30	485/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	518										
32	30	243/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/8	5	4		
32	30	243/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	519										
32	30	122	0.0	7/8	7/8	FiguredBass	4/4	2	1	0											1/8	3			
32	30	122	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	520										
33	31	245/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	521										
33	31	245/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	522										
